股票代码,换手率,PEG,行业,CR20,增长
002044.SZ,6.993995454545455,1.304458408138839,医药生物,123.895039,26.54134523562276
002074.SZ,3.0730454545454546,0.43643421852827896,电力设备,106.61857599999999,24.56756251209573
002130.SZ,5.694040909090909,1.1683550087873462,电子,136.76433600000001,12.585933174311645
002156.SZ,3.539168181818182,1.349505607690547,电子,111.40946199999999,20.436092380219055
002245.SZ,4.524604545454546,0.21720157743060822,电力设备,136.174064,46.23658193196279
002249.SZ,6.15584090909091,1.648326873385013,电力设备,101.731964,10.847550617849063
002250.SZ,5.191422727272727,0.020399484193454043,基础化工,118.99540299999998,15.119766296263379
002276.SZ,4.442322727272727,0.4660591198303287,电力设备,114.81971300000001,43.835333743347796
002523.SZ,4.781172727272727,0.08904437822874976,机械设备,112.08598100000002,26.536995984731753
002530.SZ,3.7847000000000004,0.07550587178175193,计算机,90.75571300000001,35.39160136950581
002562.SZ,3.7301136363636362,0.22965186798458703,基础化工,74.113038,21.503356738971107
300035.SZ,4.44930909090909,0.285966546474359,电力设备,90.75287800000001,29.36068916628123
300083.SZ,3.60875,0.3819661080423181,机械设备,116.34426899999998,25.25346666944424
300409.SZ,3.1729045454545455,0.2045554746297645,电力设备,127.15855400000001,29.85183752266064
300450.SZ,4.751695454545454,0.9086364084854465,电力设备,108.15250700000001,15.245536056037928
600095.SH,3.5183909090909093,0.3873319544984488,非银金融,105.587051,16.33343100757298
600143.SH,3.3170818181818187,0.7835150645624104,基础化工,106.32933300000002,17.91497151427187
600320.SH,3.4146545454545456,0.24181217232733074,机械设备,129.73605500000002,18.305254994149976
600478.SH,2.9301181818181816,0.025894663900556055,电力设备,93.000823,12.584852088722453
600531.SH,8.389204545454545,1.356861133935908,有色金属,126.686137,18.600032095385227
600744.SH,2.9864818181818182,0.04021494190664296,公用事业,83.94018100000001,25.090919438832177
600782.SH,2.907490909090909,0.11610620275070589,钢铁,85.89282399999999,34.36322229527639
601138.SH,5.665540909090909,0.8881527984677591,电子,111.81594,21.265363181491555
601218.SH,4.1000000000000005,0.12885679425701557,电力设备,115.84440400000001,33.29059348726717
603799.SH,3.9804909090909093,0.7555012531328321,有色金属,137.16079799999997,10.846495071938193
