股票代码,换手率,PEG,行业,CR20,增长
000977.SZ,4.671709090909091,2.43527084601339,计算机,150.16781099999997,16.286262377577167
002050.SZ,7.753081818181818,1.4721238223418573,家用电器,142.996925,24.34681733998872
002276.SZ,4.442322727272727,0.4660591198303287,电力设备,114.81971300000001,43.835333743347796
002530.SZ,3.7847000000000004,0.07550587178175193,计算机,90.75571300000001,35.39160136950581
002562.SZ,3.7301136363636362,0.22965186798458703,基础化工,74.113038,21.503356738971107
300035.SZ,4.44930909090909,0.285966546474359,电力设备,90.75287800000001,29.36068916628123
600095.SH,3.5183909090909093,0.3873319544984488,非银金融,105.587051,16.33343100757298
600143.SH,3.3170818181818187,0.7835150645624104,基础化工,106.32933300000002,17.91497151427187
600320.SH,3.4146545454545456,0.24181217232733074,机械设备,129.73605500000002,18.305254994149976
601319.SH,3.0370136363636364,0.2580655172413793,非银金融,145.23166999999998,22.519815398330323
