"ts_code","sub_code","name","ipo_date","issue_date","amount","market_amount","price","pe","limit_amount","funds","ballot"
"001300.SZ","1300.0","三柏硕","20221010.0","20221019","6094.0","5485.0","11.17","22.98","2.4","6.807","0.04"
"001301.SZ","1301.0","尚太科技","20221219.0","20221228","6494.0","5845.0","33.88","16.28","2.55","22.003","0.04"
"001306.SZ","1306.0","夏厦精密","20231107.0","20231116","1550.0","1240.0","53.63","44.89","0.6","8.313","0.03"
"001308.SZ","1308.0","康冠科技","20220308.0","20220318","4249.0","3824.0","48.84","22.99","1.25","20.751","0.03"
"001309.SZ","1309.0","德明利","20220622.0","20220701","2000.0","2000.0","26.54","22.99","2.0","5.308","0.01"
"001311.SZ","1311.0","多利科技","20230214.0","20230227","3533.0","3180.0","61.87","22.99","1.4","21.861","0.03"
"001313.SZ","1313.0","粤海饲料","20220127.0","20220216","10000.0","9000.0","5.38","22.96","3.0","5.38","0.05"
"001314.SZ","1314.0","亿道信息","20230131.0","20230214","3511.0","3160.0","35.0","22.84","1.4","12.289","0.03"
"001316.SZ","1316.0","润贝航科","20220615.0","20220624","2000.0","2000.0","29.2","22.99","2.0","5.84","0.01"
"001317.SZ","1317.0","三羊马","20211118.0","20211130","2001.0","1801.0","16.0","22.99","0.8","3.202","0.02"
"001318.SZ","1318.0","阳光乳业","20220509.0","20220520","7070.0","6363.0","9.46","19.95","2.8","6.688","0.04"
"001319.SZ","1319.0","铭科精技","20220426.0","20220512","3535.0","3182.0","14.89","22.98","1.4","5.264","0.03"
"001322.SZ","1322.0","箭牌家居","20221014.0","20221026","9661.0","8695.0","12.68","22.99","2.85","12.25","0.05"
"001323.SZ","1323.0","慕思股份","20220614.0","20220623","4001.0","3601.0","38.93","22.99","1.2","15.576","0.04"
"001324.SZ","1324.0","长青科技","20230510.0","20230522","3450.0","2760.0","18.88","44.64","1.35","6.514","0.03"
"001326.SZ","1326.0","联域股份","20231030.0","20231109","1830.0","1464.0","41.18","22.63","0.7","7.536","0.03"
